method,init_pop_size,lag,bias_mean,bias_prop_mean,averted_sd
1,1000000,14,-2284.18,-0.08125908935788587,85.59956370287438
2,1000000,14,101.84,0.003738084043474735,100.24419164811333
3,1000000,14,71.4,0.002653579553883829,99.8495112554848
5,1000000,14,2765.66,0.0986283061534132,103.83418689115327
