avert_true,avert_m1,avert_m3,nsam,lag,seed,deterministic
28688,25656,28004,1000000,14,145,FALSE
28285,25774,28135,1000000,14,146,FALSE
28046,25833,28198,1000000,14,147,FALSE
27874,25895,28271,1000000,14,148,FALSE
27898,25888,28261,1000000,14,149,FALSE
28417,25745,28108,1000000,14,150,FALSE
27848,25900,28274,1000000,14,151,FALSE
28106,25849,28233,1000000,14,152,FALSE
28564,25704,28061,1000000,14,153,FALSE
28092,25821,28180,1000000,14,154,FALSE
28302,25761,28114,1000000,14,155,FALSE
28308,25775,28140,1000000,14,156,FALSE
28255,25773,28131,1000000,14,157,FALSE
28103,25820,28183,1000000,14,158,FALSE
27909,25864,28230,1000000,14,159,FALSE
27947,25856,28220,1000000,14,160,FALSE
28268,25778,28137,1000000,14,161,FALSE
28430,25724,28078,1000000,14,162,FALSE
27765,25926,28300,1000000,14,163,FALSE
28112,25824,28189,1000000,14,164,FALSE
28149,25806,28171,1000000,14,165,FALSE
27931,25870,28238,1000000,14,166,FALSE
28801,25627,27975,1000000,14,167,FALSE
28459,25713,28063,1000000,14,168,FALSE
28400,25755,28117,1000000,14,169,FALSE
27555,25976,28354,1000000,14,170,FALSE
28274,25787,28155,1000000,14,171,FALSE
28455,25715,28062,1000000,14,172,FALSE
27974,25876,28255,1000000,14,173,FALSE
28293,25775,28141,1000000,14,174,FALSE
28177,25797,28155,1000000,14,175,FALSE
28002,25846,28211,1000000,14,176,FALSE
28604,25679,28029,1000000,14,177,FALSE
28639,25667,28013,1000000,14,178,FALSE
28170,25815,28182,1000000,14,179,FALSE
28528,25690,28037,1000000,14,180,FALSE
27925,25893,28281,1000000,14,181,FALSE
28011,25851,28220,1000000,14,182,FALSE
27687,25946,28326,1000000,14,183,FALSE
28146,25805,28165,1000000,14,184,FALSE
28205,25809,28176,1000000,14,185,FALSE
28352,25748,28104,1000000,14,186,FALSE
27781,25913,28286,1000000,14,187,FALSE
28213,25806,28170,1000000,14,188,FALSE
28364,25746,28101,1000000,14,189,FALSE
27753,25935,28317,1000000,14,190,FALSE
27707,25928,28302,1000000,14,191,FALSE
28389,25750,28109,1000000,14,192,FALSE
28310,25762,28120,1000000,14,193,FALSE
28645,25668,28015,1000000,14,194,FALSE
28065,25842,28212,1000000,14,195,FALSE
28020,25849,28220,1000000,14,196,FALSE
28455,25734,28097,1000000,14,197,FALSE
27964,25873,28249,1000000,14,198,FALSE
28048,25845,28214,1000000,14,199,FALSE
